No.,Pos.,Player,Club,Nationality
17,MF,João Mário,Benfica,Portugal
18,MF,Rúben Neves,Wolverhampton Wanderers,Portugal
19,DF,Nuno Mendes,Paris Saint-Germain,Portugal
20,DF,João Cancelo,Manchester City,Portugal
21,FW,Ricardo Horta,Braga,Portugal
22,GK,Diogo Costa,Porto,Portugal
23,MF,Matheus Nunes,Wolverhampton Wanderers,Portugal
24,DF,António Silva,Benfica,Portugal
25,MF,Otávio,Porto,Portugal
26,FW,Gonçalo Ramos,Benfica,Portugal
1,GK,Kim Seung-gyu,Al-Shabab,South Korea
2,DF,Yoon Jong-gyu,FC Seoul,South Korea
3,DF,Kim Jin-su,Jeonbuk Hyundai Motors,South Korea
4,DF,Kim Min-jae,Napoli,South Korea
5,MF,Jung Woo-young,Al-Sadd,South Korea
6,MF,Hwang In-beom,Olympiacos,South Korea
7,MF,Son Heung-min (captain),Tottenham Hotspur,South Korea
8,MF,Paik Seung-ho,Jeonbuk Hyundai Motors,South Korea
9,FW,Cho Gue-sung,Jeonbuk Hyundai Motors,South Korea
10,MF,Lee Jae-sung,Mainz 05,South Korea
11,MF,Hwang Hee-chan,Wolverhampton Wanderers,South Korea
12,GK,Song Bum-keun,Jeonbuk Hyundai Motors,South Korea
13,MF,Son Jun-ho,Shandong Taishan,South Korea
14,DF,Hong Chul,Daegu FC,South Korea
15,DF,Kim Moon-hwan,Jeonbuk Hyundai Motors,South Korea
16,FW,Hwang Ui-jo,Olympiacos,South Korea
17,MF,Na Sang-ho,FC Seoul,South Korea
18,MF,Lee Kang-in,Mallorca,South Korea
19,DF,Kim Young-gwon,Ulsan Hyundai,South Korea
20,DF,Kwon Kyung-won,Gamba Osaka,South Korea
21,GK,Jo Hyeon-woo,Ulsan Hyundai,South Korea
22,MF,Kwon Chang-hoon,Gimcheon Sangmu,South Korea
23,DF,Kim Tae-hwan,Ulsan Hyundai,South Korea
24,DF,Cho Yu-min,Daejeon Hana Citizen,South Korea
25,MF,Jeong Woo-yeong,SC Freiburg,South Korea
26,MF,Song Min-kyu,Jeonbuk Hyundai Motors,South Korea
1,GK,Fernando Muslera,Galatasaray,Uruguay
2,DF,José Giménez,Atlético Madrid,Uruguay
3,DF,Diego Godín (captain),Vélez Sarsfield,Uruguay
4,DF,Ronald Araújo,Barcelona,Uruguay
5,MF,Matías Vecino,Lazio,Uruguay
6,MF,Rodrigo Bentancur,Tottenham Hotspur,Uruguay
7,MF,Nicolás de la Cruz,River Plate,Uruguay
8,FW,Facundo Pellistri,Manchester United,Uruguay
9,FW,Luis Suárez,Nacional,Uruguay
10,MF,Giorgian de Arrascaeta,Flamengo,Uruguay
11,FW,Darwin Núñez,Liverpool,Uruguay
12,GK,Sebastián Sosa,Independiente,Uruguay
13,DF,Guillermo Varela,Flamengo,Uruguay
14,MF,Lucas Torreira,Galatasaray,Uruguay
15,MF,Federico Valverde,Real Madrid,Uruguay
16,DF,Mathías Olivera,Napoli,Uruguay
17,DF,Matías Viña,Roma,Uruguay
18,FW,Maxi Gómez,Trabzonspor,Uruguay
19,DF,Sebastián Coates,Sporting CP,Uruguay
20,FW,Facundo Torres,Orlando City SC,Uruguay
21,FW,Edinson Cavani,Valencia,Uruguay
22,DF,Martín Cáceres,LA Galaxy,Uruguay
23,GK,Sergio Rochet,Nacional,Uruguay
24,MF,Agustín Canobbio,Athletico Paranaense,Uruguay
25,MF,Manuel Ugarte,Sporting CP,Uruguay
26,DF,José Luis Rodríguez,Nacional,Uruguay
